match_id,week_tag,created_at,user_a,user_b,display_score,rank_score,overall_confidence,score_personality_total,score_mbti_total,score_astro_total,score_bazi,score_zodiac,score_constellation,score_natal_chart,mutual_like,first_message,reply_24h,sustained_7d,explanation_view,m_personality_score,m_personality_confidence,m_personality_degraded,m_personality_weight,m_personality_verdict,m_mbti_score,m_mbti_confidence,m_mbti_degraded,m_mbti_weight,m_mbti_verdict,m_bazi_score,m_bazi_confidence,m_bazi_degraded,m_bazi_weight,m_bazi_verdict,m_zodiac_score,m_zodiac_confidence,m_zodiac_degraded,m_zodiac_weight,m_zodiac_verdict,m_constellation_score,m_constellation_confidence,m_constellation_degraded,m_constellation_weight,m_constellation_verdict,m_natal_chart_score,m_natal_chart_confidence,m_natal_chart_degraded,m_natal_chart_weight,m_natal_chart_verdict,m_pair_chart_score,m_pair_chart_confidence,m_pair_chart_degraded,m_pair_chart_weight,m_pair_chart_verdict,label_positive_reply24h,label_positive_sustained7d
11801,2026-W13,2026-03-29T11:49:35+00:00,1989,2041,62,68,0.9,66,58,66,74,55,60,60,0,0,0,0,1,66,0.9,0,0.58,medium,58,0.62,0,0.07,weak,74,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
11800,2026-W13,2026-03-29T11:49:35+00:00,1975,2055,51,56,0.9,59,60,57,67,30,60,60,1,0,0,0,0,59,0.9,0,0.58,weak,60,0.62,0,0.07,medium,67,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,72,0.92,0,0.0525,medium,0,0
11799,2026-W13,2026-03-29T11:49:35+00:00,1931,2035,63,69,0.9,72,55,75,70,100,60,60,1,0,0,0,1,72,0.9,0,0.58,medium,55,0.62,0,0.07,weak,70,0.92,0,0.1575,medium,100,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11798,2026-W13,2026-03-29T11:49:35+00:00,1917,1959,59,65,0.9,69,59,66,59,85,60,60,0,0,0,0,0,69,0.9,0,0.58,medium,59,0.62,0,0.07,weak,59,0.92,0,0.1575,weak,85,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11797,2026-W13,2026-03-29T11:49:35+00:00,1913,2017,52,57,0.9,66,53,71,65,85,75,65,0,0,0,0,1,66,0.9,0,0.58,medium,53,0.62,0,0.07,weak,65,0.92,0,0.1575,medium,85,1,0,0.0875,strong,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11796,2026-W13,2026-03-29T11:49:35+00:00,1896,2047,66,72,0.9,67,56,61,59,55,75,65,0,1,0,0,0,67,0.9,0,0.58,medium,56,0.62,0,0.07,weak,59,0.92,0,0.1575,weak,55,1,0,0.0875,weak,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
11795,2026-W13,2026-03-29T11:49:35+00:00,1883,2033,60,66,0.9,62,58,61,69,30,75,75,0,1,0,0,0,62,0.9,0,0.58,medium,58,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,30,1,0,0.0875,weak,75,1,0,0.028,medium,75,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,0,0
11794,2026-W13,2026-03-29T11:49:35+00:00,1873,1984,68,74,0.9,65,60,68,77,55,60,60,0,1,0,0,1,65,0.9,0,0.58,medium,60,0.62,0,0.07,medium,77,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
11793,2026-W13,2026-03-29T11:49:35+00:00,1863,2053,70,77,0.9,73,63,68,73,60,60,70,1,1,1,0,0,73,0.9,0,0.58,medium,63,0.62,0,0.07,medium,73,0.92,0,0.1575,medium,60,1,0,0.0875,medium,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,72,0.92,0,0.0525,medium,1,0
11792,2026-W13,2026-03-29T11:49:34+00:00,1862,1993,57,63,0.9,61,55,60,73,30,60,60,1,0,0,0,1,61,0.9,0,0.58,medium,55,0.62,0,0.07,weak,73,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
